Order_ID,Datum,Product_Categorie,Verkoopprijs,Aantal,Klant_Type,Betaalmethode,Klanttevredenheid,Totale_Verkoopwaarde
1,2024-01-15,Laptop,1200.00,1,Zakelijk,Creditcard,5,1200.00
2,2024-01-16,Accessoires,75.50,2,Particulier,Bancontact,4,151.00
3,2024-01-18,Monitor,450.00,1,Zakelijk,Overschrijving,5,450.00
4,2024-01-20,Toetsenbord,180.00,1,Particulier,PayPal,3,180.00
5,2024-02-05,Laptop,1450.00,1,Zakelijk,Creditcard,4,1450.00
6,2024-02-08,Accessoires,25.00,3,Particulier,Bancontact,5,75.00
7,2024-02-12,Monitor,320.00,2,Zakelijk,Overschrijving,4,640.00
8,2024-02-21,Accessoires,49.99,1,Particulier,PayPal,2,49.99
9,2024-03-04,Laptop,980.00,1,Particulier,Creditcard,5,980.00
10,2024-03-10,Toetsenbord,120.00,1,Zakelijk,Bancontact,4,120.00
11,2024-03-15,Accessoires,15.50,5,Particulier,PayPal,3,77.50
12,2024-03-22,Monitor,780.00,1,Zakelijk,Overschrijving,5,780.00
13,2024-04-01,Laptop,2100.00,1,Zakelijk,Creditcard,5,2100.00
14,2024-04-05,Accessoires,99.00,1,Particulier,Bancontact,1,99.00
15,2024-04-19,Toetsenbord,210.00,1,Zakelijk,PayPal,4,210.00
16,2024-05-02,Software,250.00,1,Zakelijk,Overschrijving,4,250.00
17,2024-05-11,Accessoires,35.00,2,Particulier,Bancontact,3,70.00
18,2024-05-23,Laptop,1800.00,1,Zakelijk,Creditcard,5,1800.00
19,2024-06-01,Monitor,650.00,2,Zakelijk,Overschrijving,4,1300.00
20,2024-06-10,Toetsenbord,95.00,1,Particulier,PayPal,5,95.00
21,2024-06-15,Accessoires,12.99,10,Particulier,Bancontact,4,129.90
22,2024-06-28,Software,99.00,1,Particulier,Creditcard,3,99.00
23,2024-07-03,Laptop,1150.00,1,Particulier,Bancontact,5,1150.00
24,2024-07-14,Accessoires,89.90,1,Particulier,PayPal,4,89.90
25,2024-07-22,Monitor,499.00,1,Zakelijk,Overschrijving,4,499.00
26,2024-08-05,Toetsenbord,150.00,1,Zakelijk,Creditcard,5,150.00
27,2024-08-12,Software,450.00,1,Zakelijk,Overschrijving,5,450.00
28,2024-08-21,Accessoires,22.50,4,Particulier,Bancontact,2,90.00
29,2024-09-01,Laptop,1350.00,1,Zakelijk,Creditcard,4,1350.00
30,2024-09-05,Monitor,350.00,2,Particulier,PayPal,4,700.00
