bestelling_id,klant_id,bestel_datum,totaalbedrag
5001,1,2024-01-15,1275.50
5002,3,2024-02-11,450.00
5003,1,2024-02-12,180.00
5004,2,2024-02-15,75.50
5005,5,2024-03-22,1499.99
5006,7,2024-04-09,99.00
5007,4,2024-04-10,1200.00
5008,8,2024-04-15,49.99
5009,2,2024-04-20,209.49
5010,10,2024-05-20,1450.00
5011,11,2024-06-06,35.00
5012,15,2024-08-10,89.90
5013,6,2024-04-01,119.99
5014,9,2024-05-05,29.50
5015,1,2024-05-15,339.99
5016,13,2024-07-02,220.00
5017,17,2024-09-05,1200.00
5018,12,2024-06-25,99.00
5019,14,2024-07-18,75.50
5020,3,2024-07-25,119.99
5021,8,2024-08-01,250.00
5022,16,2024-08-28,49.99
5023,5,2024-09-02,29.50
5024,2,2024-09-04,180.00
